Site Name	Total Number of Walkers	Walker Rate	Species	Flock Size	SD	AD	Response Distance	Towards/ Away	Seperation Distance	On Shore/In Water	Distance from Edge
ALBERT Park	79	30.58064516	Black Swan	1	42	17	17	Towards	0.5	On Margin	0.2
ALBERT Park	79	30.58064516	Black Swan	3	29	23	21	Towards	0	On Shore	32
ALBERT Park	79	30.58064516	Black Swan	1	57	40	22	Towards	3	In Water	30
ALBERT Park	79	30.58064516	Black Swan	1	57	48	32	Towards	0.5	In Water	12
ALBERT Park	79	30.58064516	Black Swan	1	34	34	34	Towards	6	In Water	4
ALBERT Park	79	30.58064516	Black Swan	6	63	37	37	Towards	1	On Margin	0.2
ALBERT Park	79	30.58064516	Black Swan	2	40	40	40	Towards	1	In Water	14
ALBERT Park	79	30.58064516	Black Swan	2	40	40	40	Towards	6	In Water	3
ALBERT Park	79	30.58064516	Black Swan	2	42	42	42	Towards	1.5	In Water	2
ALTONA Boatramp	35	70	Black Swan	1	65	51	37	Towards	12	In Water	35
ALTONA Boatramp	35	70	Black Swan	2	65	51	50	Towards	12	In Water	45
AVALON Beach	0	0	Black Swan	2	170	119	113	Away	113	In Water	10
BEGOLA Wetlands	5	7.692307692	Black Swan	2	108	102	80	Away	76	In Water	7
BERWICK Springs	44	25.14285714	Black Swan	1	55	36	33	Away	28	In Water	9
BERWICK Springs	44	25.14285714	Black Swan	1	70	52	48	Away	56	In Water	50
CAIRNLEA Lake	33	36	Black Swan	1	44	43	43	Towards	6	In Water	37
CAROLINE Lake	73	58.4	Black Swan	1	27	8	8	Towards	0	In Water	2
CAROLINE Lake	73	58.4	Black Swan	1	14	14	12	Towards	1	On Shore	15
CHEETHAM Wetlands	0	0	Black Swan	1	250	250	220	Away	220	In Water	50
CHERRY Lake	32	27.42857143	Black Swan	1	51	45	7	Towards	9	On Margin	0.2
CHERRY Lake	32	27.42857143	Black Swan	3	42	25	18	Towards	2	In Water	3
CONNEWARRE Lake (North)	0	0	Black Swan	6	226	215	215	Away	215	In Water	214
CONNEWARRE Lake (North)	0	0	Black Swan	5	293	277	271	Away	271	In Water	270
CONNEWARRE Lake (South)	0	0	Black Swan	8	152	150	145	Away	145	On Shore	1
CONNEWARRE Lake (South)	0	0	Black Swan	2	183	165	165	Away	165	In Water	7
DEVILBEND Reservoir (North)	1	0.413793103	Black Swan	1	132	14	12	Away	12	In Water	4
DEVILBEND Reservoir (North)	1	0.413793103	Black Swan	1	46	17	16	Away	16	In Water	7
